Group 0 - Layer 0 - Cap. target 25388.22222222222 -  Cap. divergence -0.22222222221898846 mAh,Group 1 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -0.06666666666569654 mAh,Group 2 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -19.066666666665697 mAh,Group 3 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -93.0666666666657 mAh,Group 4 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -59.0666666666657 mAh,Group 5 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -0.06666666666569654 mAh,Group 6 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 0.9333333333343035 mAh,Group 7 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 5.9333333333343035 mAh,Group 8 - Layer 0 - Cap. target 25387.911111111112 -  Cap. divergence 4.088888888887595 mAh,Group 9 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 41.9333333333343 mAh,Group 10 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 52.9333333333343 mAh,Group 11 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -0.06666666666569654 mAh,Group 12 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -54.0666666666657 mAh,Group 13 - Layer 0 - Cap. target 25387.911111111112 -  Cap. divergence 0.08888888888759539 mAh,Group 14 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 0.9333333333343035 mAh,Group 15 - Layer 0 - Cap. target 25387.911111111112 -  Cap. divergence -7.911111111112405 mAh,Group 16 - Layer 0 - Cap. target 25388.377777777776 -  Cap. divergence 28.62222222222408 mAh,Group 17 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 3.9333333333343035 mAh,Group 18 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 51.9333333333343 mAh,Group 19 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -0.06666666666569654 mAh,Group 20 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 9.933333333334303 mAh,Group 21 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 0.9333333333343035 mAh,Group 22 - Layer 0 - Cap. target 25387.911111111112 -  Cap. divergence 2.0888888888875954 mAh,Group 23 - Layer 0 - Cap. target 25387.911111111112 -  Cap. divergence 33.088888888887595 mAh,Group 24 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -0.06666666666569654 mAh,Group 25 - Layer 0 - Cap. target 25387.911111111112 -  Cap. divergence 10.088888888887595 mAh,Group 26 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 60.9333333333343 mAh,Group 27 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -2.0666666666656965 mAh,Group 28 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -0.06666666666569654 mAh,Group 29 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 4.9333333333343035 mAh,Group 30 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 42.9333333333343 mAh,Group 31 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence 0.9333333333343035 mAh,Group 32 - Layer 0 - Cap. target 25387.911111111112 -  Cap. divergence 2.0888888888875954 mAh,Group 33 - Layer 0 - Cap. target 25388.066666666666 -  Cap. divergence -0.06666666666569654 mAh,Group 34 - Layer 0 - Cap. target 25387.911111111112 -  Cap. divergence 67.0888888888876 mAh,
3712,3758,3744,3726,3712,3714,3703,3688,3718,3673,3731,3711,3701,3707,3759,3721,3703,3695,3740,3718,3726,3713,3720,3720,3718,3717,3712,3699,3753,3689,3738,3854,3724,3713,3756,
3780,3643,3743,3634,3709,3713,3699,3687,3681,3695,3730,3664,3760,3709,3738,3740,3632,3705,3720,3670,3688,3680,3722,3719,3668,3690,3706,3694,3804,3653,3717,3643,3634,3717,3714,
3611,3758,3734,3721,3704,3654,3629,3683,3677,3670,3687,3710,3697,3657,3640,3710,3655,3692,3694,3714,3683,3759,3660,3664,3650,3634,3701,3670,3640,3650,3693,3743,3652,3738,3713,
3662,3590,3568,3583,3651,3713,3697,3696,3678,3672,3708,3663,3575,3663,3637,3641,3699,3692,3710,3639,3647,3597,3662,3710,3687,3705,3682,3603,3556,3729,3706,3565,3716,3634,3724,
3557,3586,3566,3581,3526,3577,3566,3569,3567,3668,3557,3616,3555,3584,3562,3556,3624,3557,3559,3601,3591,3571,3583,3581,3560,3575,3570,3644,3556,3589,3546,3563,3581,3544,3527,
3546,3529,3507,3527,3517,3512,3558,3566,3561,3546,3517,3514,3527,3547,3540,3508,3579,3543,3512,3537,3534,3552,3538,3518,3556,3544,3550,3561,3542,3549,3517,3515,3572,3528,3512,
3520,3524,3507,3523,3510,3505,3537,3505,3510,3506,3511,3510,3519,3521,3513,3504,3525,3508,3505,3509,3529,3517,3505,3509,3549,3533,3528,3515,3537,3534,3514,3506,3511,3514,3509,
Group 0 - Layer 1 - Cap. target 36268.88888888889 -  Cap. divergence 0.11111111110949423 mAh,Group 1 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 9.333333333328483 mAh,Group 2 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -70.66666666667152 mAh,Group 3 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -0.6666666666715173 mAh,Group 4 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -5.666666666671517 mAh,Group 5 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 26.333333333328483 mAh,Group 6 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 10.333333333328483 mAh,Group 7 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -3.6666666666715173 mAh,Group 8 - Layer 1 - Cap. target 36268.444444444445 -  Cap. divergence -28.444444444445253 mAh,Group 9 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -42.66666666667152 mAh,Group 10 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 19.333333333328483 mAh,Group 11 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -1.6666666666715173 mAh,Group 12 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -9.666666666671517 mAh,Group 13 - Layer 1 - Cap. target 36268.444444444445 -  Cap. divergence 10.555555555554747 mAh,Group 14 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 9.333333333328483 mAh,Group 15 - Layer 1 - Cap. target 36268.444444444445 -  Cap. divergence -1.4444444444452529 mAh,Group 16 - Layer 1 - Cap. target 36269.11111111111 -  Cap. divergence -0.11111111110949423 mAh,Group 17 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 0.3333333333284827 mAh,Group 18 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 21.333333333328483 mAh,Group 19 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 12.333333333328483 mAh,Group 20 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -12.666666666671517 mAh,Group 21 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -14.666666666671517 mAh,Group 22 - Layer 1 - Cap. target 36268.444444444445 -  Cap. divergence -1.4444444444452529 mAh,Group 23 - Layer 1 - Cap. target 36268.444444444445 -  Cap. divergence -3.444444444445253 mAh,Group 24 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 5.333333333328483 mAh,Group 25 - Layer 1 - Cap. target 36268.444444444445 -  Cap. divergence 8.555555555554747 mAh,Group 26 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -3.6666666666715173 mAh,Group 27 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 4.333333333328483 mAh,Group 28 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 16.333333333328483 mAh,Group 29 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -0.6666666666715173 mAh,Group 30 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 31.333333333328483 mAh,Group 31 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence 12.333333333328483 mAh,Group 32 - Layer 1 - Cap. target 36268.444444444445 -  Cap. divergence -0.4444444444452529 mAh,Group 33 - Layer 1 - Cap. target 36268.66666666667 -  Cap. divergence -2.6666666666715173 mAh,Group 34 - Layer 1 - Cap. target 36268.444444444445 -  Cap. divergence -0.4444444444452529 mAh,
3779,3705,3725,3724,3761,3702,3690,3689,3702,3701,3671,3685,3668,3751,3720,3679,3692,3680,3683,3711,3671,3701,3682,3679,3654,3686,3665,3669,3675,3714,3677,3737,3669,3704,3731,
3707,3701,3696,3677,3717,3708,3689,3683,3689,3699,3668,3664,3666,3719,3728,3675,3660,3674,3677,3695,3658,3644,3762,3676,3648,3685,3661,3661,3739,3731,3655,3703,3668,3653,3726,
